seed,seed_target,candidate,feature_type,suggested_target,similarity,purity,coverage,ambiguity,context_rule_hint
冷暴力,DOWN,暴力,char,DOWN,0.6667,0.9,9,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,分手的,char,DOWN,0.6667,0.75,9,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,崩溃大,char,DOWN,0.6667,1.0,9,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
破防,AMBIGUOUS,破防了,char,DOWN,0.6667,0.7273,8,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
top,AMBIGUOUS,ppt,char,DOWN,0.6667,0.6154,8,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
失败,DOWN,失败了,char,DOWN,0.6667,0.5714,8,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没考上,DOWN,没考,char,DOWN,0.6667,0.7273,8,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,不得，,char,DOWN,0.6667,0.5714,8,5,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不敢,DOWN,我不敢,char,DOWN,0.6667,0.8889,8,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
求助,DOWN,求助！,char,DOWN,0.6667,0.8889,8,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
求助,DOWN,求助，,char,DOWN,0.6667,0.8,8,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不被爱,DOWN,爱不,char,DOWN,0.6667,0.7273,8,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,我分手,char,DOWN,0.6667,1.0,8,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
破防,DOWN,破防了,char,DOWN,0.6667,0.7273,8,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
被背刺,DOWN,背刺,char,DOWN,0.6667,0.7273,8,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
赶不上,AMBIGUOUS,上赶,char,DOWN,0.6667,0.875,7,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
自卑,DOWN,很自卑,char,DOWN,0.6667,0.875,7,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
失败,DOWN,战失败,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
出奇招,DOWN,出奇,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,不舍得,char,DOWN,0.6667,0.6364,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,能只是,char,DOWN,0.6667,0.5833,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,就只能,char,DOWN,0.6667,0.6364,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,也只能,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,，崩溃,char,DOWN,0.6667,0.875,7,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,好崩溃,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,，分手,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,说分手,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
委屈,DOWN,委屈，,char,DOWN,0.6667,0.6364,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,，崩溃,char,DOWN,0.6667,0.875,7,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,好崩溃,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
焦虑,DOWN,，焦虑,char,DOWN,0.6667,0.7,7,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,了天,char,DOWN,0.6667,0.7,7,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分了分了分了,DOWN,分开了,char,DOWN,0.6667,0.7,7,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分了分了分了,DOWN,分析了,char,DOWN,0.6667,1.0,7,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
已经把我删了,DOWN,把我删了,char,DOWN,0.6667,0.875,7,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
天塌了,DOWN,了天,char,DOWN,0.6667,0.7,7,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就开,char,DOWN,0.6667,0.75,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
羡慕,AMBIGUOUS,羡慕她,char,DOWN,0.6667,0.6,6,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
同事,AMBIGUOUS,他同事,char,DOWN,0.6667,0.8571,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
吵架,DOWN,吵架了,char,DOWN,0.6667,0.8571,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
冷暴力,DOWN,冷暴,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,因为原生家庭,char,DOWN,0.6667,0.75,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,为原生家庭的,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭,DOWN,原生家庭的无,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,得是不,char,DOWN,0.6667,0.6667,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,得是不是,char,DOWN,0.6667,0.6667,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,我不得,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不敢,DOWN,又不敢,char,DOWN,0.6667,0.8571,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,到崩溃,char,DOWN,0.6667,0.75,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,奈崩溃,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,我崩溃,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
想不通为什么,DOWN,想为什么,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没钱,DOWN,里没钱,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没钱,DOWN,，没钱,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
还不起,DOWN,起不,char,DOWN,0.6667,0.6667,6,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
emo,DOWN,meme,word,DOWN,0.6667,0.6667,6,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
冷暴力,DOWN,冷暴,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,要分手,char,DOWN,0.6667,0.8571,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,分手后,char,DOWN,0.6667,0.8571,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
孤独,DOWN,孤独的,char,DOWN,0.6667,0.8571,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,到崩溃,char,DOWN,0.6667,0.75,6,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,奈崩溃,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,我崩溃,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
焦虑,DOWN,焦虑到,char,DOWN,0.6667,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就跟,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就给,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就可,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我妈就,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就又,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我却,AMBIGUOUS,但我却,char,DOWN,0.6667,0.5556,5,4,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
比我,AMBIGUOUS,都比我,char,DOWN,0.6667,0.5556,5,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
比我,AMBIGUOUS,比我大,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
比我,AMBIGUOUS,我无比,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
羡慕,AMBIGUOUS,会羡慕,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
落差,AMBIGUOUS,的落差,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
同事,AMBIGUOUS,同事，,char,DOWN,0.6667,0.5556,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
同事,AMBIGUOUS,个同事,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
哭死😭,DOWN,哭死,char,DOWN,0.6667,0.625,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
吵架,DOWN,吵架，,char,DOWN,0.6667,0.7143,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
被骂,DOWN,会被骂,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
被骂,DOWN,被骂，,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
被骂,DOWN,被骂的,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
破产,DOWN,#破产,hash,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
人一直没找到,DOWN,直没找到,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
人一直没找到,DOWN,一直没找,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
资料都没有了,DOWN,都没有了,char,DOWN,0.6667,0.7143,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,得我不,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,我不得不,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,只能一,char,DOWN,0.6667,0.625,5,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,很崩溃,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,么怎,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
怎么办,DOWN,么怎么,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
救命,DOWN,救命啊,char,DOWN,0.6667,0.8333,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
无力,DOWN,种无力,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
抑郁症,DOWN,郁症,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没钱,DOWN,没钱，,char,DOWN,0.6667,0.625,5,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没钱,DOWN,也没钱,char,DOWN,0.6667,0.7143,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
破产,DOWN,#破产,hash,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
被辞退,DOWN,辞退,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,友分手,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,很崩溃,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
抑郁,DOWN,抑郁症,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
焦虑,DOWN,很焦虑,char,DOWN,0.6667,0.7143,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
控制不住,DOWN,总是控制不住,char,DOWN,0.6667,1.0,5,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我没惹你们任何人,DOWN,#我没惹任何人,hash,DOWN,0.6667,0.625,5,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
工作压力过大,DOWN,工作压力,char,DOWN,0.6667,0.7143,5,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不如,AMBIGUOUS,都不如,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
凭什么,AMBIGUOUS,凭什,char,DOWN,0.6667,0.5714,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只有我,AMBIGUOUS,有只,char,DOWN,0.6667,0.6667,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就顺,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
差距,AMBIGUOUS,的差距,char,DOWN,0.6667,0.5714,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
差距,AMBIGUOUS,差距。,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我却,AMBIGUOUS,，我却,char,DOWN,0.6667,0.5714,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
比我,AMBIGUOUS,比我想,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
比自己,AMBIGUOUS,自己自,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
比自己,AMBIGUOUS,己自,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
羡慕,AMBIGUOUS,我羡慕,char,DOWN,0.6667,0.6667,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
羡慕,AMBIGUOUS,羡慕那,char,DOWN,0.6667,0.6667,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
同事,AMBIGUOUS,同事的,char,DOWN,0.6667,0.5714,4,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
第一,AMBIGUOUS,…第一,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
自卑,DOWN,自卑的,char,DOWN,0.6667,0.6667,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
失败,DOWN,的失败,char,DOWN,0.6667,0.5714,4,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
被拒,DOWN,被拒绝,char,DOWN,0.6667,0.5714,4,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
卷疯了,DOWN,卷了,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我不是很满意,DOWN,是很满意,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我不是很满意,DOWN,不是很满,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
窒息,DOWN,窒息的,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,得不到,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不敢,DOWN,不敢让,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,是只能,char,DOWN,0.6667,0.5714,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,#崩溃,hash,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
摆烂,DOWN,摆烂，,char,DOWN,0.6667,0.6667,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
摆烂,DOWN,摆烂了,char,DOWN,0.6667,0.6667,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
无力,DOWN,无力，,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
无力,DOWN,无力的,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
躺平,DOWN,躺平，,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
麻木,DOWN,麻木的,char,DOWN,0.6667,0.5714,4,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没钱,DOWN,是没钱,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
没钱,DOWN,没有钱,char,DOWN,0.6667,0.6667,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
社畜,DOWN,的社畜,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,在分手,char,DOWN,0.6667,0.5714,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分手,DOWN,该分手,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
失眠,DOWN,#失眠,hash,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
委屈,DOWN,委屈。,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
崩溃,DOWN,#崩溃,hash,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
焦虑,DOWN,好焦虑,char,DOWN,0.6667,0.6667,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
焦虑,DOWN,焦虑症,char,DOWN,0.6667,0.5714,4,3,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
焦虑,DOWN,常焦虑,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
焦虑,DOWN,些焦虑,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
分了分了分了,DOWN,了5分,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
养不胖,DOWN,养不,char,DOWN,0.6667,0.8,4,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
我真的不理解,DOWN,不理解我,char,DOWN,0.6667,0.5714,4,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,就问我,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,我就感,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
就我,AMBIGUOUS,天我就,char,DOWN,0.6667,0.6,3,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
top,AMBIGUOUS,oto,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,得不对,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,但不得不,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,但不得,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
不得不,DOWN,挣得不,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,后只能,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
只能,DOWN,们只能,char,DOWN,0.6667,0.6,3,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
撑不住,DOWN,撑不,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
求助,DOWN,，求助,char,DOWN,0.6667,0.6,3,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
失恋,DOWN,#失恋,hash,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
养不胖,DOWN,不胖,char,DOWN,0.6667,0.6,3,2,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,家庭的无奈崩,char,DOWN,0.625,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,为原生家庭的,char,DOWN,0.625,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
莫名其妙的发些话,DOWN,莫名其妙的,char,DOWN,0.625,0.75,6,1,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
原生家庭的无奈,DOWN,家庭的无奈崩,char,DOWN,0.625,1.0,6,0,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。
