term,feature_type,suggested_target,count_UP,count_NEUTRAL,count_DOWN,total_docfreq,purity,coverage,ambiguity,ambiguity_label,log_odds_z_UP,chi2_UP,mi_UP,log_odds_z_NEUTRAL,chi2_NEUTRAL,mi_NEUTRAL,log_odds_z_DOWN,chi2_DOWN,mi_DOWN,max_abs_log_odds_z,max_chi2,max_mi,suggested_bucket,context_rule_hint,l1_coef_UP,l1_coef_NEUTRAL,l1_coef_DOWN,l1_available
困难,char,DOWN,19,7,30,56,0.5357,30,19,UP,-0.3302,0.0094,1e-06,-2.0318,10.9047,0.000771,2.1344,10.236,0.000575,2.1344,10.9047,0.000771,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
年纪,char,DOWN,17,9,30,56,0.5357,30,17,UP,-0.8844,0.223,1.4e-05,-1.4512,7.4685,0.000507,2.1344,10.236,0.000575,2.1344,10.236,0.000575,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
不懂,char,DOWN,31,32,54,117,0.4615,54,32,NEUTRAL,-2.134,2.4883,0.000155,0.713,1.8389,0.000114,1.4812,8.5804,0.00049,2.134,8.5804,0.00049,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
#搞笑的日常,hash,DOWN,1,7,9,17,0.5294,9,7,NEUTRAL,-2.1339,5.7725,0.000454,1.5585,0.487,2.8e-05,1.1249,2.9019,0.000163,2.1339,5.7725,0.000454,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
还会,char,DOWN,35,14,45,94,0.4787,45,35,UP,0.2394,0.6551,3.9e-05,-2.1335,14.3843,0.000989,1.6645,8.8626,0.000504,2.1335,14.3843,0.000989,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
有些,char,DOWN,65,29,73,167,0.4371,73,65,UP,0.773,2.406,0.000141,-2.1299,19.2955,0.001291,1.1282,8.0368,0.000463,2.1299,19.2955,0.001291,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
，还,char,DOWN,171,126,233,530,0.4396,233,171,UP,-1.8122,0.2847,1.7e-05,-0.3951,22.7362,0.001439,2.1272,28.008,0.001615,2.1272,28.008,0.001615,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
的东西,char,DOWN,47,35,75,157,0.4777,75,47,UP,-1.5897,0.8252,5e-05,-0.6458,8.6026,0.000552,2.1255,14.7067,0.000837,2.1255,14.7067,0.000837,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
常的,char,DOWN,13,17,28,58,0.4828,28,17,NEUTRAL,-2.1227,3.1275,0.000201,0.8473,0.4011,2.5e-05,1.3694,5.7539,0.000327,2.1227,5.7539,0.000327,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
fa,char,DOWN,20,5,22,47,0.4681,22,20,UP,0.9259,1.8131,0.000105,-2.1208,10.8595,0.000788,1.0297,3.7795,0.000216,2.1208,10.8595,0.000788,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
别人的,char,DOWN,21,11,35,67,0.5224,35,21,UP,-0.8005,0.1189,7e-06,-1.5239,8.5894,0.000581,2.1196,10.6913,0.000602,2.1196,10.6913,0.000602,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
一千,char,DOWN,12,2,17,31,0.5484,17,12,UP,0.3084,0.4066,2.4e-05,-2.1192,10.0463,0.000781,1.7261,6.3839,0.000358,2.1192,10.0463,0.000781,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
是感,char,DOWN,14,2,15,31,0.4839,15,14,UP,1.0504,1.9632,0.000112,-2.1192,10.0463,0.000781,1.0136,3.1116,0.000177,2.1192,10.0463,0.000781,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
集中,char,DOWN,12,2,17,31,0.5484,17,12,UP,0.3084,0.4066,2.4e-05,-2.1192,10.0463,0.000781,1.7261,6.3839,0.000358,2.1192,10.0463,0.000781,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
是怎么,char,DOWN,16,17,35,68,0.5147,35,17,NEUTRAL,-2.1174,2.9586,0.000188,0.0935,2.085,0.000131,2.0098,9.9822,0.000563,2.1174,9.9822,0.000563,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
，天,char,DOWN,17,8,29,54,0.537,29,17,UP,-0.6976,0.0828,5e-06,-1.6297,8.2943,0.000571,2.115,9.9983,0.000561,2.115,9.9983,0.000571,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
怎样,char,DOWN,12,13,29,54,0.537,29,13,NEUTRAL,-2.0757,3.0136,0.000194,-0.0748,2.0466,0.00013,2.115,9.9983,0.000561,2.115,9.9983,0.000561,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
表现,char,DOWN,15,10,29,54,0.537,29,15,UP,-1.258,0.7518,4.6e-05,-1.0183,5.2911,0.000351,2.115,9.9983,0.000561,2.115,9.9983,0.000561,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
是直接,char,DOWN,5,9,16,30,0.5333,16,9,NEUTRAL,-2.1149,3.7588,0.000254,0.6965,0.1402,9e-06,1.5366,5.3377,0.0003,2.1149,5.3377,0.0003,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
只能说,char,DOWN,5,10,15,30,0.5,15,10,NEUTRAL,-2.1149,3.7588,0.000254,1.1144,0.0002,0.0,1.1744,3.6969,0.000209,2.1149,3.7588,0.000254,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
明确,char,DOWN,15,3,18,36,0.5,18,15,UP,0.7004,1.1333,6.6e-05,-2.111,10.0898,0.000758,1.2864,4.4395,0.000251,2.111,10.0898,0.000758,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
活着,char,DOWN,14,3,19,36,0.5278,19,14,UP,0.3547,0.5044,2.9e-05,-2.111,10.0898,0.000758,1.6176,6.0564,0.000341,2.111,10.0898,0.000758,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
如果是,char,DOWN,14,3,19,36,0.5278,19,14,UP,0.3547,0.5044,2.9e-05,-2.111,10.0898,0.000758,1.6176,6.0564,0.000341,2.111,10.0898,0.000758,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
。上,char,DOWN,15,3,18,36,0.5,18,15,UP,0.7004,1.1333,6.6e-05,-2.111,10.0898,0.000758,1.2864,4.4395,0.000251,2.111,10.0898,0.000758,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
作人,char,DOWN,11,16,24,51,0.4706,24,16,NEUTRAL,-2.1079,3.1901,0.000206,1.1333,0.0784,5e-06,1.1087,4.2585,0.000243,2.1079,4.2585,0.000243,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
了自,char,DOWN,30,13,44,87,0.5057,44,30,UP,-0.304,0.0534,3e-06,-2.0424,13.2309,0.000909,2.1069,11.5586,0.000653,2.1069,13.2309,0.000909,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
其实,char,DOWN,153,79,164,396,0.4141,164,153,UP,1.0721,5.2859,0.00031,-2.1043,32.9734,0.002151,0.8036,11.7976,0.000685,2.1043,32.9734,0.002151,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
视频,char,DOWN,62,30,79,171,0.462,79,62,UP,0.057,0.6773,4e-05,-2.1023,19.3243,0.001291,1.8026,12.7132,0.000727,2.1023,19.3243,0.001291,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
不太,char,DOWN,46,26,67,139,0.482,67,46,UP,-0.7249,0.0033,0.0,-1.5835,13.4137,0.000887,2.1023,13.7862,0.000784,2.1023,13.7862,0.000887,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
，给,char,DOWN,33,25,56,114,0.4912,56,33,UP,-1.572,0.9952,6.1e-05,-0.6403,6.634,0.000427,2.1016,12.7259,0.000722,2.1016,12.7259,0.000722,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
女生,char,DOWN,41,38,69,148,0.4662,69,41,UP,-2.1013,2.1409,0.000132,0.329,3.8594,0.000242,1.7812,11.713,0.000669,2.1013,11.713,0.000669,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
莫名其,char,DOWN,7,10,20,37,0.5405,20,10,NEUTRAL,-2.1011,3.4697,0.000229,0.3553,0.6412,4e-05,1.7925,7.0754,0.000397,2.1011,7.0754,0.000397,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
名其,char,DOWN,7,10,20,37,0.5405,20,10,NEUTRAL,-2.1011,3.4697,0.000229,0.3553,0.6412,4e-05,1.7925,7.0754,0.000397,2.1011,7.0754,0.000397,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
名其妙,char,DOWN,7,10,20,37,0.5405,20,10,NEUTRAL,-2.1011,3.4697,0.000229,0.3553,0.6412,4e-05,1.7925,7.0754,0.000397,2.1011,7.0754,0.000397,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
莫名其妙,char,DOWN,7,10,20,37,0.5405,20,10,NEUTRAL,-2.1011,3.4697,0.000229,0.3553,0.6412,4e-05,1.7925,7.0754,0.000397,2.1011,7.0754,0.000397,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
其妙,char,DOWN,7,10,20,37,0.5405,20,10,NEUTRAL,-2.1011,3.4697,0.000229,0.3553,0.6412,4e-05,1.7925,7.0754,0.000397,2.1011,7.0754,0.000397,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
，你们,char,DOWN,9,11,24,44,0.5455,24,11,NEUTRAL,-2.0998,3.296,0.000215,0.0752,1.3452,8.5e-05,2.0185,8.8279,0.000495,2.0998,8.8279,0.000495,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
会不,char,DOWN,28,25,52,105,0.4952,52,28,UP,-1.986,2.1195,0.000132,-0.1673,4.2394,0.000269,2.0994,12.3158,0.000698,2.0994,12.3158,0.000698,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
小时候,char,DOWN,22,15,39,76,0.5132,39,22,UP,-1.2835,0.6604,4.1e-05,-0.9645,6.2798,0.000412,2.0979,10.9762,0.000619,2.0979,10.9762,0.000619,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
，就会,char,DOWN,2,7,10,19,0.5263,10,7,NEUTRAL,-2.0959,4.4536,0.000324,1.2316,0.113,7e-06,1.1626,3.1418,0.000177,2.0959,4.4536,0.000324,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
一次看,char,DOWN,2,8,9,19,0.4737,9,8,NEUTRAL,-2.0959,4.4536,0.000324,1.7351,0.6788,3.9e-05,0.704,1.6532,9.4e-05,2.0959,4.4536,0.000324,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
样啊,char,DOWN,2,7,10,19,0.5263,10,7,NEUTRAL,-2.0959,4.4536,0.000324,1.2316,0.113,7e-06,1.1626,3.1418,0.000177,2.0959,4.4536,0.000324,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
0左右,char,DOWN,2,7,10,19,0.5263,10,7,NEUTRAL,-2.0959,4.4536,0.000324,1.2316,0.113,7e-06,1.1626,3.1418,0.000177,2.0959,4.4536,0.000324,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
0左,char,DOWN,2,7,10,19,0.5263,10,7,NEUTRAL,-2.0959,4.4536,0.000324,1.2316,0.113,7e-06,1.1626,3.1418,0.000177,2.0959,4.4536,0.000324,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
次和,char,DOWN,2,7,10,19,0.5263,10,7,NEUTRAL,-2.0959,4.4536,0.000324,1.2316,0.113,7e-06,1.1626,3.1418,0.000177,2.0959,4.4536,0.000324,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
没有任,char,DOWN,12,12,28,52,0.5385,28,12,UP,-1.916,2.4716,0.000158,-0.2405,2.4238,0.000155,2.0956,9.7617,0.000548,2.0956,9.7617,0.000548,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
没有任何,char,DOWN,12,12,28,52,0.5385,28,12,UP,-1.916,2.4716,0.000158,-0.2405,2.4238,0.000155,2.0956,9.7617,0.000548,2.0956,9.7617,0.000548,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
天，,char,DOWN,67,61,100,228,0.4386,100,67,UP,-2.087,1.6339,0.0001,0.7866,4.4087,0.000274,1.3636,11.3745,0.000655,2.087,11.3745,0.000655,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
多年,char,DOWN,21,23,40,84,0.4762,40,23,NEUTRAL,-2.0847,2.6446,0.000166,0.6106,1.3013,8.1e-05,1.5266,7.6345,0.000434,2.0847,7.6345,0.000434,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
营业,char,DOWN,4,8,14,26,0.5385,14,8,NEUTRAL,-2.0815,3.7766,0.000258,0.7386,0.0702,4e-06,1.4818,4.8656,0.000273,2.0815,4.8656,0.000273,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
心理,char,DOWN,39,18,55,112,0.4911,55,39,UP,-0.2703,0.115,7e-06,-2.0524,15.0387,0.00102,2.0798,12.4746,0.000707,2.0798,15.0387,0.00102,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
听到,char,DOWN,28,19,47,94,0.5,47,28,UP,-1.2599,0.5344,3.3e-05,-0.9664,7.244,0.000473,2.0788,11.6736,0.000661,2.0788,11.6736,0.000661,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
了，就,char,DOWN,16,14,33,63,0.5238,33,16,UP,-1.7421,1.7942,0.000113,-0.4221,3.4572,0.000222,2.0777,10.2009,0.000574,2.0777,10.2009,0.000574,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
把自,char,DOWN,18,12,33,63,0.5238,33,18,UP,-1.2298,0.6446,4e-05,-1.0038,5.7427,0.000379,2.0777,10.2009,0.000574,2.0777,10.2009,0.000574,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
给你,char,DOWN,28,24,51,103,0.4951,51,28,UP,-1.8602,1.7677,0.00011,-0.2856,4.6195,0.000294,2.0774,12.0644,0.000683,2.0774,12.0644,0.000683,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
子也,char,DOWN,14,9,27,50,0.54,27,14,UP,-1.1784,0.6411,4e-05,-1.0635,5.2485,0.00035,2.0763,9.5262,0.000535,2.0763,9.5262,0.000535,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
学了,char,DOWN,14,9,27,50,0.54,27,14,UP,-1.1784,0.6411,4e-05,-1.0635,5.2485,0.00035,2.0763,9.5262,0.000535,2.0763,9.5262,0.000535,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
大家都,char,DOWN,38,43,57,138,0.413,57,43,NEUTRAL,-2.069,2.1137,0.000131,1.8068,0.2669,1.6e-05,0.448,3.8727,0.000225,2.069,3.8727,0.000225,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
不容易,char,DOWN,16,5,25,46,0.5435,25,16,UP,-0.1787,0.0445,3e-06,-2.0672,10.4105,0.000753,2.0376,9.0591,0.000508,2.0672,10.4105,0.000753,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
了一些,char,DOWN,17,5,24,46,0.5217,24,17,UP,0.1283,0.2751,1.6e-05,-2.0672,10.4105,0.000753,1.7476,7.2712,0.000409,2.0672,10.4105,0.000753,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
件都,char,DOWN,1,7,8,16,0.5,8,7,NEUTRAL,-2.0672,5.2877,0.000413,1.7331,0.8023,4.6e-05,0.8576,1.9684,0.000111,2.0672,5.2877,0.000413,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
介意,char,DOWN,1,7,8,16,0.5,8,7,NEUTRAL,-2.0672,5.2877,0.000413,1.7331,0.8023,4.6e-05,0.8576,1.9684,0.000111,2.0672,5.2877,0.000413,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
过去,char,DOWN,47,41,78,166,0.4699,78,47,UP,-2.0645,1.9119,0.000118,0.056,5.5356,0.000349,1.9819,13.9099,0.000793,2.0645,13.9099,0.000793,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
昨天,char,DOWN,59,52,92,203,0.4532,92,59,UP,-2.0636,1.6973,0.000104,0.3655,5.4145,0.000339,1.71,13.1328,0.000753,2.0636,13.1328,0.000753,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
十分,char,DOWN,25,16,42,83,0.506,42,25,UP,-1.1213,0.3866,2.4e-05,-1.1042,7.3403,0.000483,2.063,11.0575,0.000625,2.063,11.0575,0.000625,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
感觉自,char,DOWN,24,17,42,83,0.506,42,24,UP,-1.3472,0.7324,4.5e-05,-0.8515,6.126,0.000399,2.063,11.0575,0.000625,2.063,11.0575,0.000625,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
觉自己,char,DOWN,24,17,42,83,0.506,42,24,UP,-1.3472,0.7324,4.5e-05,-0.8515,6.126,0.000399,2.063,11.0575,0.000625,2.063,11.0575,0.000625,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
觉自,char,DOWN,24,17,42,83,0.506,42,24,UP,-1.3472,0.7324,4.5e-05,-0.8515,6.126,0.000399,2.063,11.0575,0.000625,2.063,11.0575,0.000625,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
感觉自己,char,DOWN,24,17,42,83,0.506,42,24,UP,-1.3472,0.7324,4.5e-05,-0.8515,6.126,0.000399,2.063,11.0575,0.000625,2.063,11.0575,0.000625,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
人格,char,DOWN,6,9,18,33,0.5455,18,9,NEUTRAL,-2.0622,3.4178,0.000227,0.3683,0.5271,3.3e-05,1.748,6.6122,0.000371,2.0622,6.6122,0.000371,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
早点,char,DOWN,6,11,16,33,0.4848,16,11,NEUTRAL,-2.0622,3.4178,0.000227,1.1688,0.0002,0.0,1.0571,3.3567,0.000191,2.0622,3.4178,0.000227,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
，对,char,DOWN,56,25,65,146,0.4452,65,56,UP,0.5806,1.6954,9.9e-05,-2.0576,17.3436,0.001164,1.2537,8.1569,0.000468,2.0576,17.3436,0.001164,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
十多,char,DOWN,13,3,19,35,0.5429,19,13,UP,0.1349,0.231,1.4e-05,-2.0573,9.6215,0.00072,1.7702,6.8428,0.000384,2.0573,9.6215,0.00072,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
化妆,char,DOWN,16,6,26,48,0.5417,26,16,UP,-0.3915,0.0,0.0,-1.8811,9.3379,0.000661,2.0569,9.2919,0.000521,2.0569,9.3379,0.000661,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
刚开,char,DOWN,13,9,26,48,0.5417,26,13,UP,-1.2841,0.8455,5.3e-05,-0.9234,4.5529,0.000301,2.0569,9.2919,0.000521,2.0569,9.2919,0.000521,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
的问题，,char,DOWN,8,12,20,40,0.5,20,12,NEUTRAL,-2.0566,3.2102,0.00021,0.8042,0.1871,1.1e-05,1.356,4.9352,0.000279,2.0566,4.9352,0.000279,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
说好,char,DOWN,8,14,18,40,0.45,18,14,NEUTRAL,-2.0566,3.2102,0.00021,1.5255,0.0578,3e-06,0.7179,2.4017,0.000138,2.0566,3.2102,0.00021,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
，我一,char,DOWN,21,8,32,61,0.5246,32,21,UP,-0.2637,0.0338,2e-06,-2.0193,11.1905,0.000785,2.0565,9.9563,0.00056,2.0565,11.1905,0.000785,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
自己是,char,DOWN,21,8,32,61,0.5246,32,21,UP,-0.2637,0.0338,2e-06,-2.0193,11.1905,0.000785,2.0565,9.9563,0.00056,2.0565,11.1905,0.000785,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
己是,char,DOWN,21,8,32,61,0.5246,32,21,UP,-0.2637,0.0338,2e-06,-2.0193,11.1905,0.000785,2.0565,9.9563,0.00056,2.0565,11.1905,0.000785,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
对自己,char,DOWN,18,11,32,61,0.5246,32,18,UP,-1.0598,0.4021,2.5e-05,-1.1688,6.384,0.000425,2.0565,9.9563,0.00056,2.0565,9.9563,0.00056,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
理，,char,DOWN,18,11,32,61,0.5246,32,18,UP,-1.0598,0.4021,2.5e-05,-1.1688,6.384,0.000425,2.0565,9.9563,0.00056,2.0565,9.9563,0.00056,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
“我,char,DOWN,27,24,50,101,0.495,50,27,UP,-1.9344,1.9976,0.000124,-0.1751,4.1169,0.000261,2.0552,11.8131,0.000669,2.0552,11.8131,0.000669,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
读，,char,DOWN,12,1,13,26,0.5,13,12,UP,1.0653,1.933,0.00011,-2.0538,10.1404,0.000836,1.0933,3.2025,0.000181,2.0538,10.1404,0.000836,ambiguous_or_review,需确认帖主处境相对更糟、更受限、更低能动；普通负面语气或玩梗不单独构成 DOWN。,0.0,0.0,0.0,True
